accession_id,virus_name,location,collection_date
EPI_ISL_426647,hCoV-19/Australia/VIC338/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_425339,hCoV-19/England/CAMB-7492A/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_424007,hCoV-19/England/20129018904/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_426648,hCoV-19/Australia/VIC339/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_425338,hCoV-19/England/CAMB-7491B/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_424006,hCoV-19/England/20129018604/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_426649,hCoV-19/Australia/VIC340/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_425337,hCoV-19/England/CAMB-7490C/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_424005,hCoV-19/England/20129017804/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425336,hCoV-19/England/CAMB-748F0/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_424004,hCoV-19/England/20129017304/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425335,hCoV-19/England/CAMB-748E1/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_424003,hCoV-19/England/20129017104/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425334,hCoV-19/England/CAMB-748D2/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_424002,hCoV-19/England/20129016404/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425333,hCoV-19/England/CAMB-7477B/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_424001,hCoV-19/England/20129016104/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_425332,hCoV-19/England/CAMB-7476C/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_424000,hCoV-19/England/20129016004/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_425331,hCoV-19/England/CAMB-7475D/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_425330,hCoV-19/England/CAMB-7474E/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_414686,hCoV-19/Guangzhou/GZMU0030/2020,Asia / China / Guangdong / Guangzhou,2020-02-27
EPI_ISL_414688,hCoV-19/Guangzhou/GZMU0042/2020,Asia / China / Guangdong / Guangzhou,2020-02-25
EPI_ISL_414687,hCoV-19/Guangzhou/GZMU0031/2020,Asia / China / Guangdong / Guangzhou,2020-02-25
EPI_ISL_412026,hCoV-19/Hefei/2/2020,Asia / China / Anhui / Hefei,2020-02-23
EPI_ISL_412028,hCoV-19/Hong Kong/VM20001061/2020,Asia / Hong Kong,2020-01-22
EPI_ISL_414689,hCoV-19/Guangzhou/GZMU0044/2020,Asia / China / Guangdong / Guangzhou,2020-02-25
EPI_ISL_426650,hCoV-19/Australia/VIC341/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426651,hCoV-19/Australia/VIC342/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426652,hCoV-19/Australia/VIC343/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426653,hCoV-19/Australia/VIC344/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426654,hCoV-19/Australia/VIC345/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426655,hCoV-19/Australia/VIC346/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426656,hCoV-19/Australia/VIC347/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426657,hCoV-19/Australia/VIC348/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_425329,hCoV-19/England/CAMB-7473F/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_426658,hCoV-19/Australia/VIC350/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_425328,hCoV-19/England/CAMB-74720/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_424039,hCoV-19/England/20129037802/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_424038,hCoV-19/England/20129037304/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425369,hCoV-19/England/CAMB-74D2E/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_424037,hCoV-19/England/20129037204/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425368,hCoV-19/England/CAMB-74D1F/2020,Europe / United Kingdom / England,2020-03-16
EPI_ISL_412050,hCoV-19/China/HKU-SZ-007b/2020,Asia / China,2020-01
EPI_ISL_424036,hCoV-19/England/20129036804/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_425367,hCoV-19/England/CAMB-74D00/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_412051,hCoV-19/China/HKU-SZ-007c/2020,Asia / China,2020-01
EPI_ISL_424035,hCoV-19/England/20129036504/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425366,hCoV-19/England/CAMB-74CF4/2020,Europe / United Kingdom / England,2020-03-17
